Text,Category
CAIPIRA 1,Title
"R$ 24,00",Price
"R$ 34,00",Price
"Frango desfiado, milho e catupiry",Recipe
CAIPIRA 2,Title
"R$ 24,00",Price
"R$ 34,00",Price
"Frango desfiado, milho e mussarela",Recipe
ESCAROLA,Title
"R$ 23,00",Price
"R$ 31,00",Price
"Escarola, bacon e mussarela",Recipe
FRANCESA,Title
"R$ 33,00",Price
"R$ 24,00",Price
"Presunto, palmito, cebola e mussarela",Recipe
FRANGO COM CATUPIRY,Title
"R$ 33,00",Price
"R$ 24,00",Price
Frango desfiado e catupiry,Recipe
CAIPIRA 1,Title
"R$ 21,00",Price
"R$ 29,00",Price
CALABRESA,Title
"R$ 24,00",Price
AMOR PERFEITO,Title
"R$ 34,00",Price
"R$ 33,00",Price
"R$ 24,00",Price
"Frango desfiado, milho e catupiry",Recipe
Calabresa com rodelas de cebola,Recipe
"catupiry, milho verde, presunto, ervilha e cebola",Recipe
CAIPIRA 2,Title
"R$ 21,00",Price
"R$ 29,00",Price
MUSSARELA,Title
"R$ 24,00",Price
"R$ 34,00",Price
AMERICANA,Title
"R$ 32,00",Price
"R$ 23,00",Price
"Frango, desfiado, milho e mussarela",Recipe
Mussarela com rodelas de tomate,Recipe
"Presunto, ervilha, ovos e mussarela",Recipe
PEITO DE PERU,Title
ESCAROLA,Title
"R$ 33,00",Price
"R$ 22,00",Price
A MODA DO CHEFE,Title
"R$ 23,00",Price
"R$ 31,00",Price
"R$39,00",Price
"R$ 27,00",Price
"Escarola, bacon e mussarela",Recipe
"Calabresa, mussarela e parmesão",Recipe
"Peito de peru, mussarela e bacon",Recipe
FRANCESA,Title
"R$ 33,00",Price
"R$ 29,00",Price
MODA DO CLIENTE,Title
"R$ 41,00",Price
"R$ 24,00",Price
"R$ 34,00",Price
"Presunto, palmito, cebola e mussarela",Recipe
Escolha até 5 ingredientes (exceto Canupiry Original e Care Seca),Recipe
"Presunto, ovos, milho, ervilha, cebola e mussarela",Recipe
FRANGO COM CATUPIRY,Title
"R$ 33,00",Price
ALHO E OLEO,Title
"R$ 30,00",Price
"R$ 24,00",Price
"R$ 22,00",Price
PAULISTINHA,Title
"R$ 24,00",Price
"R$ 33,00",Price
Frango desfiado e catupiry,Recipe
"Alho, mussarela e parmesão ralado",Recipe
"Presunto, atum, cebola e mussarela",Recipe
GAÚCHA,Title
"R$ 34,00",Price
ATUM,Title
"R$ 24,00",Price
"R$ 31,00",Price
"R$ 22,00",Price
PALMITO COM CATUPIRY,Title
"R$ 32,00",Price
"R$ 24,00",Price
Atum com rodelas de cebola,Recipe
Palmito e cebola coberto com catupiry,Recipe
JARDINEIRA,Title
"Frango desfiado, catupiry e cebola",Recipe
"R$ 33,00",Price
"R$ 24,00",Price
BACON,Title
"R$ 22,00",Price
"R$ 33,00",Price
VEREDA,Title
"R$ 32,00",Price
"R$ 24,90",Price
"Bacon, fatias de cebola e mussarela",Recipe
"Calabresa, palmito, cebola e musssarela",Recipe
LOMBINHO,Title
Lombo canadense,Recipe
"R$ 31,00",Price
PORTUGUESA SIMPLES,Title
"R$ 24,00",Price
BAURU,Title
"R$ 30,00",Price
"R$ 22,00",Price
"R$ 32,00",Price
"R$ 24,00",Price
"canadense, mussarela e cebola",Recipe
"Presunto, mussarela e rodelas de tomate",Recipe
"Presunto, ovos, cebola e mussarela",Recipe
NOBRE,Title
"R$ 33,00",Price
"R$ 24,00",Price
BRASILEIRA,Title
BAIANA 2,Title
"R$ 32,00",Price
"R$ 24,00",Price
"R$ 24,00",Price
"R$ 32,00",Price
"Presunto, frango desfiado e mussarela",Recipe
"Calabresa fatiada, cebola, ovo e pimenta calabresa",Recipe
"Calabresa moida, ovos, cebola e mussarela",Recipe
PERUANA,Title
"R$ 32,00",Price
"R$ 24,00",Price
BRÓCOLIS,Title
FRANGO COM CATUPIRY,Title
"R$ 42,00",Price
"R$ 31,00",Price
"R$ 22,00",Price
"R$30,00",Price
"Atum, mussarela e rodelas de tomate",Recipe
"Brócolis, bacon, cebola e mussarela",Recipe
PALMITO,Title
"R$31,00",Price
"R$ 23,00",Price
CARNE SECA 1,Title
CATUPIRY,Title
"R$41,00",Price
"R$ 30,00",Price
"R$ 30,00",Price
"R$ 21,00",Price
mussarela,Recipe
"Carne seca, cebola, pimentão e mussarela",Recipe
